3	UNC	4	6,3500	3.0000	76,2000	2.8376	2.7294	3 - 4 UNC
3	UN 6	6	4,2333	3.0000	76,2000	2.8917	2.8196	3 - 6 UN 6
3	UN 8	8	3,1750	3.0000	76,2000	2.9188	2.8647	3 - 8 UN 8
3	UN 12	12	2,1167	3.0000	76,2000	2.9459	2.9098	3 - 12 UN 12
3	UN 16	16	1,5875	3.0000	76,2000	2.9594	2.9323	3 - 16 UN 16
3	UN 20	20	1,2700	3.0000	76,2000	2.9675	2.9459	3 - 20 UN 20
3 1/8	UN 4	4	6,3500	3.1250	79,3750	2.9626	2.8544	3 1/8 - 4 UN 4
3 1/8	UN 6	6	4,2333	3.1250	79,3750	3.0167	2.9446	3 1/8 - 6 UN 6
3 1/8	UN 8	8	3,1750	3.1250	79,3750	3.0438	2.9897	3 1/8 - 8 UN 8
3 1/8	UN 12	12	2,1167	3.1250	79,3750	3.0709	3.0348	3 1/8 - 12 UN 12
3 1/8	UN 16	16	1,5875	3.1250	79,3750	3.0844	3.0573	3 1/8 - 16 UN 16
3 1/4	UNC	4	6,3500	3.2500	82,5500	3.0876	2.9794	3 1/4 - 4 UNC
3 1/4	UN 6	6	4,2333	3.2500	82,5500	3.1417	3.0696	3 1/4 - 6 UN 6
3 1/4	UN 8	8	3,1750	3.2500	82,5500	3.1688	3.1147	3 1/4 - 8 UN 8
3 1/4	UN 12	12	2,1167	3.2500	82,5500	3.1959	3.1598	3 1/4 - 12 UN 12
3 1/4	UN 16	16	1,5875	3.2500	82,5500	3.2094	3.1823	3 1/4 - 16 UN 16
3 3/8	UN 4	4	6,3500	3.3750	85,7250	3.2126	3.1044	3 3/8 - 4 UN 4
3 3/8	UN 6	6	4,2333	3.3750	85,7250	3.2667	3.1946	3 3/8 - 6 UN 6
3 3/8	UN 8	8	3,1750	3.3750	85,7250	3.2938	3.2397	3 3/8 - 8 UN 8
3 3/8	UN 12	12	2,1167	3.3750	85,7250	3.3209	3.2848	3 3/8 - 12 UN 12
3 3/8	UN 16	16	1,5875	3.3750	85,7250	3.3344	3.3073	3 3/8 - 16 UN 16
3 1/2	UNC	4	6,3500	3.5000	88,9000	3.3376	3.2294	3 1/2 - 4 UNC
3 1/2	UN 6	6	4,2333	3.5000	88,9000	3.3917	3.3196	3 1/2 - 6 UN 6
3 1/2	UN 8	8	3,1750	3.5000	88,9000	3.4188	3.3647	3 1/2 - 8 UN 8
3 1/2	UN 12	12	2,1167	3.5000	88,9000	3.4459	3.4098	3 1/2 - 12 UN 12
3 1/2	UN 16	16	1,5875	3.5000	88,9000	3.4594	3.4323	3 1/2 - 16 UN 16
3 5/8	UN 4	4	6,3500	3.6250	92,0750	3.4626	3.3544	3 5/8 - 4 UN 4
3 5/8	UN 6	6	4,2333	3.6250	92,0750	3.5167	3.4446	3 5/8 - 6 UN 6
3 5/8	UN 8	8	3,1750	3.6250	92,0750	3.5438	3.4897	3 5/8 - 8 UN 8
3 5/8	UN 12	12	2,1167	3.6250	92,0750	3.5709	3.5348	3 5/8 - 12 UN 12
3 5/8	UN 16	16	1,5875	3.6250	92,0750	3.5844	3.5573	3 5/8 - 16 UN 16
3 7/8	UN 4	4	6,3500	3.8750	98,4250	3.7126	3.6044	3 7/8 - 4 UN 4
3 7/8	UN 6	6	4,2333	3.8750	98,4250	3.7667	3.6946	3 7/8 - 6 UN 6
3 7/8	UN 8	8	3,1750	3.8750	98,4250	3.7938	3.7397	3 7/8 - 8 UN 8
3 7/8	UN 12	12	2,1167	3.8750	98,4250	3.8209	3.7848	3 7/8 - 12 UN 12
3 7/8	UN 16	16	1,5875	3.8750	98,4250	3.8344	3.8073	3 7/8 - 16 UN 16
4	UNC	4	6,3500	4.0000	101,6000	3.8376	3.7294	4 - 4 UNC
4	UN 6	6	4,2333	4.0000	101,6000	3.8917	3.8196	4 - 6 UN 6
4	UN 8	8	3,1750	4.0000	101,6000	3.9188	3.8647	4 - 8 UN 8
4	UN 12	12	2,1167	4.0000	101,6000	3.9459	3.9098	4 - 12 UN 12
4	UN 16	16	1,5875	4.0000	101,6000	3.9594	3.9323	4 - 16 UN 16
4 1/8	UN 4	4	6,3500	4.1250	104,7750	3.9626	3.8544	4 1/8 - 4 UN 4
4 1/8	UN 6	6	4,2333	4.1250	104,7750	4.0167	3.9446	4 1/8 - 6 UN 6
4 1/8	UN 8	8	3,1750	4.1250	104,7750	4.0438	3.9897	4 1/8 - 8 UN 8
4 1/8	UN 12	12	2,1167	4.1250	104,7750	4.0709	4.0348	4 1/8 - 12 UN 12
4 1/8	UN 16	16	1,5875	4.1250	104,7750	4.0844	4.0573	4 1/8 - 16 UN 16
4 1/4	UN 4	4	6,3500	4.2500	107,9500	4.0876	3.9794	4 1/4 - 4 UN 4
4 1/4	UN 6	6	4,2333	4.2500	107,9500	4.1417	4.0696	4 1/4 - 6 UN 6
4 1/4	UN 8	8	3,1750	4.2500	107,9500	4.1688	4.1147	4 1/4 - 8 UN 8
4 1/4	UN 12	12	2,1167	4.2500	107,9500	4.1959	4.1598	4 1/4 - 12 UN 12
4 1/4	UN 16	16	1,5875	4.2500	107,9500	4.2094	4.1823	4 1/4 - 16 UN 16
